Part,Quantity,Link,Price,Notes
MGN12 250 mm,2,https://www.aliexpress.us/item/2255800576028509.html?spm=a2g0o.productlist.main.1.23f2o3bMo3bMH7&algo_pvid=c457bf84-1dc7-4aa7-9c54-9bf63f85bcc7&algo_exp_id=c457bf84-1dc7-4aa7-9c54-9bf63f85bcc7-0&pdp_ext_f=%7B%22order%22%3A%222149%22%2C%22eval%22%3A%221%22%7D&pdp_npi=4%40dis%21USD%2114.80%215.80%21%21%2114.80%215.80%21%402101c72a17426971571492496ec180%2112000021007222464%21sea%21US%213026219538%21ABX&curPageLogUid=ng2BcBWToTPu&utparam-url=scene%3Asearch%7Cquery_from%3A,24.74,cut to 220
MGN12 200 mm,4,https://www.aliexpress.us/item/2255800576028509.html?spm=a2g0o.productlist.main.1.23f2o3bMo3bMH7&algo_pvid=c457bf84-1dc7-4aa7-9c54-9bf63f85bcc7&algo_exp_id=c457bf84-1dc7-4aa7-9c54-9bf63f85bcc7-0&pdp_ext_f=%7B%22order%22%3A%222149%22%2C%22eval%22%3A%221%22%7D&pdp_npi=4%40dis%21USD%2114.80%215.80%21%21%2114.80%215.80%21%402101c72a17426971571492496ec180%2112000021007222464%21sea%21US%213026219538%21ABX&curPageLogUid=ng2BcBWToTPu&utparam-url=scene%3Asearch%7Cquery_from%3A,43.92,cut to 180
24v 300W psu,1,https://www.aliexpress.us/item/1005007450441202.html?spm=a2g0o.productlist.main.1.41bc163bpR2lfb&algo_pvid=f87d513e-2650-4d0d-8cda-f41ba4468f9e&algo_exp_id=f87d513e-2650-4d0d-8cda-f41ba4468f9e-0&pdp_ext_f=%7B%22order%22%3A%224371%22%2C%22eval%22%3A%221%22%7D&pdp_npi=4%40dis%21USD%216.92%216.92%21%21%216.92%216.92%21%402101c59517538598749731863ea9fc%2112000040804211383%21sea%21CA%216311244909%21X&curPageLogUid=OHpx6Ko0WjJg&utparam-url=scene%3Asearch%7Cquery_from%3A,10.37,
BTT Octopus PRO ,1,https://spool3d.ca/bigtreetech-octopus-pro-32-bit-3d-printer-control-board/,52.5,"i js chose this source cuz they are based in my city, you might want to get from aliexpress or smth"
klicky,1,https://www.aliexpress.us/item/1005005024460822.html?spm=a2g0o.productlist.main.1.266f1d51aYnBh2&algo_pvid=5356e695-6f4c-473a-a9f0-f06143562bfa&algo_exp_id=5356e695-6f4c-473a-a9f0-f06143562bfa-0&pdp_ext_f=%7B%22order%22%3A%22235%22%2C%22eval%22%3A%221%22%7D&pdp_npi=4%40dis%21USD%215.12%215.12%21%21%215.12%215.12%21%402101ef5e17538572682022903e42ab%2112000033703545905%21sea%21CA%216311244909%21X&curPageLogUid=ErvPVTDqHY6G&utparam-url=scene%3Asearch%7Cquery_from%3A,5.12,
HGX lite extruder,1,https://www.aliexpress.us/item/3256807742609969.html?spm=a2g0o.productlist.main.34.3d422939UOLNRq&utparam-url=scene%3Asearch%7Cquery_from%3Apc_back_same_best&algo_pvid=6170a45f-39c3-4b6f-a899-dc21dd3084d2&algo_exp_id=6170a45f-39c3-4b6f-a899-dc21dd3084d2&pdp_ext_f=%7B%22order%22%3A%2219%22%7D&pdp_npi=4%40dis%21USD%2120.83%2110.90%21%21%2120.83%2110.90%21%402101d9ef17427009962337851e5ed7%2112000042898399247%21sea%21US%210%21ABX&gatewayAdapt=4itemAdapt,0,its at 0 cuz its already owned for me
20t idler,4,https://www.aliexpress.us/item/1005007829058925.html?spm=a2g0o.productlist.main.1.28e4eee4ACxOy9&algo_pvid=690e7c92-8365-4338-8102-9f7d7bc176a0&algo_exp_id=690e7c92-8365-4338-8102-9f7d7bc176a0-4&pdp_ext_f=%7B%22order%22%3A%221883%22%2C%22eval%22%3A%221%22%7D&pdp_npi=4%40dis%21USD%210.70%210.69%21%21%215.02%214.97%21%402101c5bf17538579452485886e8f16%2112000042362571473%21sea%21CA%216311244909%21X&curPageLogUid=ZmA4TFB1Bcoy&utparam-url=scene%3Asearch%7Cquery_from%3A,3.36,
20T pulley 5-pack,1,https://www.aliexpress.us/item/1005001933418605.html?spm=a2g0o.productlist.main.3.10407a575KVHAN&algo_pvid=38ca0228-dcf0-477a-9064-57e7ce31235f&algo_exp_id=38ca0228-dcf0-477a-9064-57e7ce31235f-2&pdp_ext_f=%7B%22order%22%3A%22940%22%2C%22eval%22%3A%221%22%7D&pdp_npi=4%40dis%21USD%211.88%211.88%21%21%211.88%211.88%21%402101eac917427021425817901e69f4%2112000018146726861%21sea%21US%213026219538%21ABX&curPageLogUid=1RBtj4vuZ7sH&utparam-url=scene%3Asearch%7Cquery_from%3A&gatewayAdapt=4itemAdapt,3.21,
tz v2 hotend,1,https://www.aliexpress.us/item/1005008343915526.html?spm=a2g0o.productlist.main.7.7ea830408hHyLE&algo_pvid=bfb20e33-ecab-4f75-a3ca-d3b7ae477df8&algo_exp_id=bfb20e33-ecab-4f75-a3ca-d3b7ae477df8-6&pdp_ext_f=%7B%22order%22%3A%2229%22%2C%22eval%22%3A%221%22%7D&pdp_npi=4%40dis%21USD%212.32%212.32%21%21%2116.58%2116.58%21%402103244817538589480361999edd23%2112000044672073466%21sea%21CA%216311244909%21X&curPageLogUid=hdW15BLrTGBw&utparam-url=scene%3Asearch%7Cquery_from%3A,8.94,
Creality Ender 2 Pro Heatbed,1,https://spool3d.ca/creality-ender-2-pro-heatbed/,23.8,"i js chose this source cuz they are based in my city, you might want to get from aliexpress or smth"
3pcs lead screw coupler,1,https://www.aliexpress.us/item/4000176981612.html?spm=a2g0o.productlist.main.6.95d143ffZN3Y3O&algo_pvid=1676ffec-eecb-4cb3-8db4-a3ea4214df6f&algo_exp_id=1676ffec-eecb-4cb3-8db4-a3ea4214df6f-5&pdp_ext_f=%7B%22order%22%3A%22356%22%2C%22eval%22%3A%221%22%7D&pdp_npi=4%40dis%21USD%214.22%214.22%21%21%214.22%214.22%21%402101c59517538680683064187eaa1f%2112000033940746305%21sea%21CA%216311244909%21X&curPageLogUid=2ZSQe4cUWua5&utparam-url=scene%3Asearch%7Cquery_from%3A,4.22,
lead screw + nut 250mm,1,https://www.aliexpress.us/item/1005003316526573.html?spm=a2g0o.productlist.main.1.1342481cZvBq8a&algo_pvid=f78f6d12-c7f6-4fd5-8356-7e763efa1b3c&algo_exp_id=f78f6d12-c7f6-4fd5-8356-7e763efa1b3c-0&pdp_ext_f=%7B%22order%22%3A%225%22%2C%22eval%22%3A%221%22%7D&pdp_npi=4%40dis%21USD%214.17%212.50%21%21%214.17%212.50%21%40210312d517538611276524844e6695%2112000025178371197%21sea%21CA%216311244909%21X&curPageLogUid=8tSDACJjFkS6&utparam-url=scene%3Asearch%7Cquery_from%3A,10.95,
TMC2209,6,https://vi.aliexpress.com/item/1005004862737922.html?spm=a2g0o.productlist.main.4.43884617H0Q2F4&algo_pvid=45094684-28b2-4181-a233-c425b35377c9&algo_exp_id=45094684-28b2-4181-a233-c425b35377c9-10&pdp_ext_f=%7B%22order%22%3A%2297%22%2C%22eval%22%3A%221%22%7D&pdp_npi=4%40dis%21USD%212.46%211.82%21%21%212.46%211.82%21%402101ef5e17539056500435687e807f%2112000030792416501%21sea%21CA%216311244909%21X&curPageLogUid=zu00FezqWhio&utparam-url=scene%3Asearch%7Cquery_from%3A,15.91,
"Nema 17 steppers, 5 pack",1,https://www.aliexpress.us/item/1005007433160313.html?gatewayAdapt=4itemAdapt,43.47,
4020 blower,1,https://www.aliexpress.us/item/1005003284761769.html?spm=a2g0o.productlist.main.14.258f261amiNOkg&algo_pvid=7fbd4eb0-d468-436c-bdfe-d52719e77686&algo_exp_id=7fbd4eb0-d468-436c-bdfe-d52719e77686-58&pdp_ext_f=%7B%22order%22%3A%2265%22%2C%22eval%22%3A%221%22%7D&pdp_npi=4%40dis%21USD%212.96%212.96%21%21%2121.12%2121.12%21%402103244617538590387456300ef98b%2112000025019612449%21sea%21CA%216311244909%21X&curPageLogUid=ATvojsfyzFEq&utparam-url=scene%3Asearch%7Cquery_from%3A,2.94,
3010 fan,1,https://www.aliexpress.us/item/1005003371996395.html?spm=a2g0o.productlist.main.1.4e13386dkqvNCq&algo_pvid=8ea80482-1e4e-43ec-91f7-ad5e05b9da44&algo_exp_id=8ea80482-1e4e-43ec-91f7-ad5e05b9da44-0&pdp_ext_f=%7B%22order%22%3A%222174%22%2C%22eval%22%3A%221%22%7D&pdp_npi=4%40dis%21USD%211.98%211.98%21%21%211.98%211.98%21%402101e9ec17539093001802235efa2d%2112000025471466561%21sea%21CA%216311244909%21X&curPageLogUid=cIESG7KxWGG3&utparam-url=scene%3Asearch%7Cquery_from%3A,2.06,
a lot of m3 screws,1,https://vi.aliexpress.com/item/1005007182447745.html?gatewayAdapt=glo2vnm4itemAdapt,9.93,
6mm 5m gt2 belts,1,https://www.aliexpress.us/item/1005005216868552.html?spm=a2g0o.productlist.main.1.48d5260fF8chVd&algo_pvid=9a77f5a1-d1c8-421d-8c9e-73cdfbb4f5c2&algo_exp_id=9a77f5a1-d1c8-421d-8c9e-73cdfbb4f5c2-0&pdp_ext_f=%7B%22order%22%3A%221126%22%2C%22eval%22%3A%221%22%7D&pdp_npi=4%40dis%21USD%2110.11%2110.11%21%21%2110.11%2110.11%21%402103247417539059775765268e165e%2112000041927837324%21sea%21CA%216311244909%21X&curPageLogUid=hBg5qyLnrgfv&utparam-url=scene%3Asearch%7Cquery_from%3A,5.79,
m3 tnuts 100 pack,1,https://www.aliexpress.us/item/3256807197032414.html?spm=a2g0o.productlist.main.2.5f9148c5fzz54D&algo_pvid=9a87f249-3606-4672-9194-d05b7e132e77&algo_exp_id=9a87f249-3606-4672-9194-d05b7e132e77-1&pdp_ext_f=%7B%22order%22%3A%221685%22%2C%22eval%22%3A%221%22%7D&pdp_npi=4%40dis%21USD%213.09%210.99%21%21%2122.28%217.15%21%402101c67a17427645129785994eb3b4%2112000040523054011%21sea%21US%213026219538%21ABX&curPageLogUid=d7hpjnWIi4S5&utparam-url=scene%3Asearch%7Cquery_from%3A,6.21,
4pcs 250mm 2040 aluminum extrusion ,2,https://www.aliexpress.us/item/1005003428294239.html?spm=a2g0o.productlist.main.5.b7ca7523bjnWoT&algo_pvid=8768e360-8ffd-490c-bd9c-743e3d3d4ee3&algo_exp_id=8768e360-8ffd-490c-bd9c-743e3d3d4ee3-0&pdp_ext_f=%7B%22order%22%3A%22324%22%2C%22eval%22%3A%221%22%7D&pdp_npi=4%40dis%21USD%2117.78%2113.33%21%21%2117.78%2113.33%21%402101ea7117538593821972810ea534%2112000025755955325%21sea%21CA%216311244909%21X&curPageLogUid=VIp7VHeetbhU&utparam-url=scene%3Asearch%7Cquery_from%3A,20.64,
PSU plug,1,https://www.aliexpress.us/item/32961436466.html?spm=a2g0o.productlist.main.7.41f45a7f0PwWVI&algo_pvid=3c5072ad-7a66-446b-bad8-69461bcdddb5&algo_exp_id=3c5072ad-7a66-446b-bad8-69461bcdddb5-14&pdp_ext_f=%7B%22order%22%3A%22825%22%2C%22eval%22%3A%221%22%7D&pdp_npi=4%40dis%21USD%211.63%211.63%21%21%211.63%211.63%21%402103209b17538605493995117ec22b%2166458203373%21sea%21CA%216311244909%21X&curPageLogUid=UGz2Of785w8x&utparam-url=scene%3Asearch%7Cquery_from%3A,2.72,
M3 heatset inserts,1,https://vi.aliexpress.com/item/1005003582355741.html?spm=a2g0o.productlist.main.1.13a34d04KLXrV1&algo_pvid=4f01f32c-a26a-4655-89c6-bc434f0c4ec6&algo_exp_id=4f01f32c-a26a-4655-89c6-bc434f0c4ec6-0&pdp_ext_f=%7B%22order%22%3A%2217957%22%2C%22eval%22%3A%221%22%7D&pdp_npi=4%40dis%21USD%212.08%212.08%21%21%212.08%212.08%21%402101c67a17538608156815162e5e31%2112000026370649721%21sea%21CA%216311244909%21X&curPageLogUid=LkVxQod8xD9L&utparam-url=scene%3Asearch%7Cquery_from%3A,2.23,
2pcs 8mm 200mm linear rods ,1,https://www.aliexpress.com/item/1005009347568195.html?spm=a2g0o.productlist.main.28.200c54e91nxKhF&algo_pvid=5bb43c5c-f844-44f3-9ac8-efebc63e4a90&aem_p4p_detail=202507311524351085493458988020003191336&algo_exp_id=5bb43c5c-f844-44f3-9ac8-efebc63e4a90-27&pdp_ext_f=%7B%22order%22%3A%22110%22%2C%22eval%22%3A%221%22%7D&pdp_npi=4%40dis%21USD%213.40%213.40%21%21%2124.32%2124.32%21%402103244617540006754436848e4127%2112000048850251171%21sea%21CA%216311244909%21X&curPageLogUid=95Mp5DwVpUVP&utparam-url=scene%3Asearch%7Cquery_from%3A&search_p4p_id=202507311524351085493458988020003191336_7,5.6,
2 pcs LM8UU linear bearings,1,https://www.aliexpress.com/item/1005007505835336.html?spm=a2g0o.productlist.main.9.66066e232f28kR&algo_pvid=6a38e0d2-b6dc-4405-8eae-e6ae45464302&algo_exp_id=6a38e0d2-b6dc-4405-8eae-e6ae45464302-8&pdp_ext_f=%7B%22order%22%3A%228%22%2C%22eval%22%3A%221%22%7D&pdp_npi=4%40dis%21USD%210.67%210.50%21%21%214.80%213.55%21%402101ead817540000271813548e0fa5%2112000041058012555%21sea%21CA%216311244909%21X&curPageLogUid=ULuH204SRaV9&utparam-url=scene%3Asearch%7Cquery_from%3A,5.5,
4pcs 250mm 2020 aluminum extrusion ,2,https://www.aliexpress.us/item/1005003428294239.html?spm=a2g0o.productlist.main.5.b7ca7523bjnWoT&algo_pvid=8768e360-8ffd-490c-bd9c-743e3d3d4ee3&algo_exp_id=8768e360-8ffd-490c-bd9c-743e3d3d4ee3-0&pdp_ext_f=%7B%22order%22%3A%22324%22%2C%22eval%22%3A%221%22%7D&pdp_npi=4%40dis%21USD%2117.78%2113.33%21%21%2117.78%2113.33%21%402101ea7117538593821972810ea534%2112000025755955325%21sea%21CA%216311244909%21X&curPageLogUid=VIp7VHeetbhU&utparam-url=scene%3Asearch%7Cquery_from%3A,33.78,
,,,Total price (USD),
,,,347.91,
,,,Amount left in grant,
,,,2.09,